year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,aggravated_assault,arson,burglary,larceny_theft,motor_vehicle_theft,murder,robbery,sexual_assault,aggravated_assault_rate,arson_rate,burglary_rate,larceny_theft_rate,motor_vehicle_theft_rate,murder_rate,robbery_rate,sexual_assault_rate
1982,84,167.0,Sangamon,7,Central,Mostly Urban,14.1,175162,760.0,81.0,2980.0,7173.0,372.0,5.0,313.0,66.0,433.9,46.2,1701.3,4095.1,212.4,2.9,178.7,37.7
1982,85,169.0,Schuyler,8,Central,Mostly Rural,57.6,8237,1.0,0.0,0.0,53.0,3.0,0.0,0.0,0.0,12.1,0.0,0.0,643.4,36.4,0.0,0.0,0.0
1982,86,171.0,Scott,7,Central,Completely Rural,100.0,6059,2.0,0.0,19.0,32.0,2.0,2.0,0.0,0.0,33.0,0.0,313.6,528.1,33.0,33.0,0.0,0.0
1982,87,173.0,Shelby,4,Central,Mostly Rural,77.7,23630,7.0,0.0,98.0,248.0,18.0,0.0,0.0,1.0,29.6,0.0,414.7,1049.5,76.2,0.0,0.0,4.2
1982,88,175.0,Stark,10,Central,Completely Rural,100.0,7252,3.0,0.0,12.0,96.0,2.0,0.0,0.0,1.0,41.4,0.0,165.5,1323.8,27.6,0.0,0.0,13.8
1982,89,177.0,Stephenson,15,Northern - Other,Mostly Urban,40.1,49842,371.0,16.0,444.0,1318.0,66.0,0.0,52.0,9.0,744.4,32.1,890.8,2644.4,132.4,0.0,104.3,18.1
1982,90,179.0,Tazewell,10,Central,Mostly Urban,20.4,130451,193.0,25.0,811.0,2622.0,117.0,5.0,38.0,13.0,147.9,19.2,621.7,2010.0,89.7,3.8,29.1,10.0
1982,91,181.0,Union,1,Southern,Mostly Rural,65.9,18043,11.0,0.0,24.0,244.0,9.0,2.0,2.0,1.0,61.0,0.0,133.0,1352.3,49.9,11.1,11.1,5.5
1982,92,183.0,Vermilion,5,Central,Mostly Urban,31.3,92998,237.0,16.0,1149.0,2706.0,131.0,3.0,70.0,10.0,254.8,17.2,1235.5,2909.7,140.9,3.2,75.3,10.8
1982,93,185.0,Wabash,2,Southern,Mostly Urban,38.9,13913,16.0,0.0,201.0,354.0,47.0,1.0,6.0,2.0,115.0,0.0,1444.7,2544.4,337.8,7.2,43.1,14.4
1982,94,187.0,Warren,9,Central,Mostly Urban,45.5,21638,22.0,2.0,242.0,616.0,31.0,0.0,4.0,2.0,101.7,9.2,1118.4,2846.8,143.3,0.0,18.5,9.2
1982,95,189.0,Washington,20,Southern,Mostly Rural,73.6,15517,7.0,1.0,39.0,78.0,6.0,0.0,0.0,0.0,45.1,6.4,251.3,502.7,38.7,0.0,0.0,0.0
1982,96,191.0,Wayne,2,Southern,Mostly Rural,69.9,18613,8.0,0.0,75.0,171.0,14.0,0.0,1.0,2.0,43.0,0.0,402.9,918.7,75.2,0.0,5.4,10.7
1982,97,193.0,White,2,Southern,Mostly Rural,62.0,18403,12.0,1.0,60.0,194.0,17.0,0.0,2.0,1.0,65.2,5.4,326.0,1054.2,92.4,0.0,10.9,5.4
1982,98,195.0,Whiteside,14,Northern - Other,Mostly Urban,37.3,64356,54.0,15.0,584.0,1415.0,73.0,5.0,12.0,4.0,83.9,23.3,907.5,2198.7,113.4,7.8,18.6,6.2
1982,99,197.0,Will,12,Northern - Collar,Mostly Urban,3.9,325943,898.0,194.0,4336.0,9166.0,1226.0,24.0,322.0,54.0,275.5,59.5,1330.3,2812.1,376.1,7.4,98.8,16.6
1982,100,199.0,Williamson,1,Southern,Mostly Urban,34.8,57917,58.0,10.0,376.0,673.0,95.0,0.0,20.0,9.0,100.1,17.3,649.2,1162.0,164.0,0.0,34.5,15.5
1982,101,201.0,Winnebago,17,Northern - Other,Mostly Urban,7.9,249698,918.0,82.0,4999.0,10645.0,513.0,13.0,504.0,64.0,367.6,32.8,2002.0,4263.1,205.4,5.2,201.8,25.6
1982,102,203.0,Woodford,11,Central,Mostly Rural,54.9,33563,7.0,5.0,82.0,257.0,6.0,0.0,2.0,2.0,20.9,14.9,244.3,765.7,17.9,0.0,6.0,6.0
1983,1,1.0,Adams,8,Central,Mostly Urban,32.6,70392,130.0,4.0,555.0,1592.0,51.0,0.0,23.0,12.0,184.7,5.7,788.4,2261.6,72.5,0.0,32.7,17.0
1983,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,11948,86.0,6.0,216.0,403.0,15.0,1.0,15.0,8.0,719.8,50.2,1807.8,3372.9,125.5,8.4,125.5,67.0
1983,3,5.0,Bond,3,Southern,Mostly Rural,60.7,15932,0.0,1.0,32.0,35.0,6.0,1.0,1.0,0.0,0.0,6.3,200.9,219.7,37.7,6.3,6.3,0.0
1983,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,29133,24.0,3.0,268.0,716.0,43.0,1.0,2.0,3.0,82.4,10.3,919.9,2457.7,147.6,3.4,6.9,10.3
1983,5,9.0,Brown,8,Central,Mostly Urban,41.1,5726,2.0,0.0,7.0,35.0,1.0,1.0,0.0,1.0,34.9,0.0,122.2,611.2,17.5,17.5,0.0,17.5
1983,6,11.0,Bureau,13,Central,Mostly Rural,57.4,38399,29.0,3.0,105.0,352.0,16.0,0.0,4.0,2.0,75.5,7.8,273.4,916.7,41.7,0.0,10.4,5.2
